"created_at","screen_name","text","name","location","is_retweet","date"
2020-03-21 13:24:05,"BarackObama","Here are a few stories that have less to do with the very real medical or economic aspects of this crisis, and more with how we take care of each other as a human family during all crises:","Barack Obama","Washington, DC",FALSE,2020-03-21
2020-03-19 15:25:09,"BarackObama","The best part of my job was meeting people like this—ready to make a selfless act in a time of need. Many Americans are already making deep sacrifices to keep our communities healthy, but if you’re able to, consider helping those hit the hardest. https://t.co/CdrMsC6VXF","Barack Obama","Washington, DC",FALSE,2020-03-19
2020-03-19 15:25:09,"BarackObama",".@rgay and @SheaSerrano are using their feeds to directly support people in need—and helping shift our ideas about how to approach giving.
https://t.co/1JHPUYEiKV","Barack Obama","Washington, DC",FALSE,2020-03-19
2020-03-19 15:25:08,"BarackObama","In my old neighborhood, the @BSAllianceChi established a crisis pantry to provide food and essential items for particularly vulnerable queer and trans residents on the South and West sides of Chicago.
https://t.co/ilyDlj3ago","Barack Obama","Washington, DC",FALSE,2020-03-19
2020-03-19 15:25:07,"BarackObama",".@ObamaFoundation Fellow @alexsmith1982 is helping seniors fight loneliness in the UK through a mix of new and old technology: online chats through Zoom and Skype, and postcards and poems shared by younger neighbors.
https://t.co/GdnqDR8JJ4","Barack Obama","Washington, DC",FALSE,2020-03-19
2020-03-19 15:25:07,"BarackObama","Some great stories of big-hearted people coming up with new ways to come together—even while remaining apart—to help the vulnerable who face some very tough times ahead.
https://t.co/kcBQK915jo","Barack Obama","Washington, DC",FALSE,2020-03-19
2020-03-18 14:57:45,"BarackObama","In the meantime, remember to check up by phone on elderly or vulnerable friends and neighbors who may need our help.","Barack Obama","Washington, DC",FALSE,2020-03-18
2020-03-18 14:57:44,"BarackObama","As communities have begun to recognize the importance of social distancing measures to “flatten the curve” on COVID-19 transmission, here’s a sober but useful primer on what we should expect in the coming months: https://t.co/9oqdRF5J0Q","Barack Obama","Washington, DC",FALSE,2020-03-18
2020-03-17 16:49:38,"BarackObama","We owe a profound debt of gratitude to all our health professionals and everybody who’ll be on the front lines of this pandemic for a long while. They’re giving everything. May we all model our own behavior on their selflessness and sacrifice as we help each other through this. https://t.co/F3tsJTqd4c","Barack Obama","Washington, DC",FALSE,2020-03-17
2020-03-15 19:09:21,"BarackObama","Not everybody can stay home, and we owe a big debt of gratitude to health professionals, transit and airport workers, first responders, and everyone keeping our communities going. Leaders have to step up to support people whose lives and livelihoods take a hit in the weeks ahead.","Barack Obama","Washington, DC",FALSE,2020-03-15
2020-03-15 19:08:57,"BarackObama","Watch this. It shows why we should all do the right thing and stay home to the fullest extent possible. All of us can help slow the spread of the virus, protecting the elderly, the vulnerable, and each other. https://t.co/FgffQrMVB7","Barack Obama","Washington, DC",FALSE,2020-03-15
2020-03-14 14:11:06,"BarackObama","A shout out to Kevin, Giannis, Zion, Blake, Steph and all the players, owners and organizations who are setting a good example during a challenging time. A reminder that we’re a community, and that each of us has an obligation to look out for each other. https://t.co/cv1RZi9GGL","Barack Obama","Washington, DC",FALSE,2020-03-14
2020-03-12 23:00:56,"BarackObama","If you’re wondering whether it’s an overreaction to cancel large gatherings and public events (and I love basketball), here’s a useful primer as to why these measures can slow the spread of the virus and save lives. We have to look out for each other. https://t.co/Ld7Uc8sPTQ","Barack Obama","Washington, DC",FALSE,2020-03-12
2020-03-10 20:50:11,"BarackObama","In the midst of campaign season, it’s important to look squarely at what’s at stake. This article speaks to one of the disturbing long term trends that we as voters and citizens need to expect our government to address. https://t.co/m49rbES0i6","Barack Obama","Washington, DC",FALSE,2020-03-10
